date,time,feature,Label
2025-01-28,03:47:34,3,-6
2025-01-28,03:47:36,-6,-5
2025-01-28,03:47:38,-5,-9
2025-01-28,03:47:40,-9,2
2025-01-28,03:47:42,2,0
2025-01-28,03:47:44,0,0
2025-01-28,03:47:46,0,-1
2025-01-28,03:47:48,-1,-8
2025-01-28,03:47:50,-8,-8
2025-01-28,03:47:52,-8,9
2025-01-28,03:47:54,9,-2
2025-01-28,03:47:56,-2,-8
2025-01-28,03:47:58,-8,-8
2025-01-28,03:48:00,-8,0
2025-01-28,03:48:02,0,-5
2025-01-28,03:48:04,-5,-5
2025-01-28,03:48:06,-5,3
2025-01-28,03:48:08,3,-8
2025-01-28,03:48:10,-8,-8
2025-01-28,03:48:12,-8,-1
2025-01-28,03:48:14,-1,0
2025-01-28,03:48:17,0,0
2025-01-28,03:48:19,0,9
2025-01-28,03:48:21,9,-4
2025-01-28,03:48:23,-4,-6
2025-01-28,03:48:25,-6,6
2025-01-28,03:48:27,6,6
2025-01-28,03:48:29,6,6
2025-01-28,03:48:31,6,0
2025-01-28,03:48:33,0,6
2025-01-28,03:48:35,6,6
2025-01-28,03:48:37,6,8
2025-01-28,03:48:39,8,10
2025-01-28,03:48:41,10,0
2025-01-28,03:48:43,0,-4
2025-01-28,03:48:45,-4,-1
2025-01-28,03:48:47,-1,0
2025-01-28,03:48:49,0,0
2025-01-28,03:48:51,0,0
2025-01-28,03:48:53,0,-8
2025-01-28,03:48:55,-8,-7
2025-01-28,03:48:57,-7,-3
2025-01-28,03:48:59,-3,-3
2025-01-28,03:49:01,-3,8
2025-01-28,03:49:03,8,6
2025-01-28,03:49:05,6,6
2025-01-28,03:49:07,6,5
2025-01-28,03:49:09,5,6
2025-01-28,03:49:11,6,-1
2025-01-28,03:49:13,-1,-10
2025-01-28,03:49:23,-10,5
2025-01-28,03:49:26,5,0
2025-01-28,03:49:28,0,-9
2025-01-28,03:49:30,-9,-9
2025-01-28,03:49:32,-9,5
2025-01-28,03:49:34,5,-8
2025-01-28,03:49:36,-8,9
2025-01-28,03:49:38,9,-7
2025-01-28,03:49:40,-7,-10
2025-01-28,03:49:42,-10,7
2025-01-28,03:49:44,7,7
2025-01-28,03:49:46,7,2
2025-01-28,03:49:48,2,3
2025-01-28,03:49:50,3,8
2025-01-28,03:49:52,8,-4
2025-01-28,03:49:54,-4,-8
2025-01-28,03:49:56,-8,1
2025-01-28,03:49:58,1,1
2025-01-28,03:50:00,1,-9
2025-01-28,03:50:02,-9,-9
2025-01-28,03:50:04,-9,3
2025-01-28,03:50:06,3,1
2025-01-28,03:50:08,1,8
2025-01-28,03:50:10,8,1
2025-01-28,03:50:12,1,7
2025-01-28,03:50:14,7,3
2025-01-28,03:50:16,3,0
2025-01-28,03:50:18,0,-8
2025-01-28,03:50:20,-8,3
2025-01-28,03:50:22,3,3
2025-01-28,03:50:24,3,-3
2025-01-28,03:50:26,-3,2
2025-01-28,03:50:28,2,-8
2025-01-28,03:50:30,-8,-4
2025-01-28,03:50:32,-4,6
2025-01-28,03:50:34,6,3
2025-01-28,03:50:36,3,8
2025-01-28,03:50:38,8,8
2025-01-28,03:50:40,8,2
2025-01-28,03:50:43,2,-5
2025-01-28,03:50:45,-5,8
2025-01-28,03:50:47,8,-7
2025-01-28,03:50:49,-7,8
2025-01-28,03:50:51,8,8
2025-01-28,03:50:53,8,0
2025-01-28,03:50:55,0,0
2025-01-28,03:50:57,0,-7
2025-01-28,03:50:59,-7,2
2025-01-28,03:51:01,2,8
2025-01-28,03:51:03,8,-3
2025-01-28,03:51:13,-3,-8
2025-01-28,03:51:15,-8,-9
2025-01-28,03:51:17,-9,7
2025-01-28,03:51:19,7,-6
2025-01-28,03:51:21,-6,2
2025-01-28,03:51:23,2,2
2025-01-28,03:51:25,2,-3
2025-01-28,03:51:27,-3,-3
2025-01-28,03:51:29,-3,-4
2025-01-28,03:51:31,-4,5
2025-01-28,03:51:33,5,-3
2025-01-28,03:51:35,-3,2
2025-01-28,03:51:37,2,2
2025-01-28,03:51:39,2,3
2025-01-28,03:51:41,3,-1
2025-01-28,03:51:43,-1,3
2025-01-28,03:51:45,3,4
2025-01-28,03:51:47,4,7
2025-01-28,03:51:49,7,-7
2025-01-28,03:51:51,-7,2
2025-01-28,03:51:53,2,-3
2025-01-28,03:51:56,-3,8
2025-01-28,03:51:58,8,-8
2025-01-28,03:52:00,-8,-6
2025-01-28,03:52:02,-6,-3
2025-01-28,03:52:04,-3,0
2025-01-28,03:52:06,0,-6
2025-01-28,03:52:08,-6,-6
2025-01-28,03:52:10,-6,-6
2025-01-28,03:52:12,-6,4
2025-01-28,03:52:14,4,1
2025-01-28,03:52:16,1,-6
2025-01-28,03:52:18,-6,-10
2025-01-28,03:52:20,-10,-2
2025-01-28,03:52:22,-2,-4
2025-01-28,03:52:24,-4,-4
2025-01-28,03:52:26,-4,-10
2025-01-28,03:52:28,-10,-9
2025-01-28,03:52:30,-9,-3
2025-01-28,03:52:32,-3,-3
2025-01-28,03:52:34,-3,-3
2025-01-28,03:52:36,-3,-1
2025-01-28,03:52:38,-1,2
2025-01-28,03:52:40,2,-1
2025-01-28,03:52:42,-1,0
2025-01-28,03:52:44,0,0
2025-01-28,03:52:46,0,-5
2025-01-28,03:52:48,-5,9
2025-01-28,03:52:50,9,-4
2025-01-28,03:52:52,-4,9
2025-01-28,03:53:03,9,4
2025-01-28,03:53:05,4,8
2025-01-28,03:53:07,8,8
2025-01-28,03:53:09,8,2
2025-01-28,03:53:11,2,7
2025-01-28,03:53:13,7,8
2025-01-28,03:53:15,8,2
2025-01-28,03:53:17,2,-2
2025-01-28,03:53:19,-2,7
2025-01-28,03:53:21,7,-2
2025-01-28,03:53:23,-2,1
2025-01-28,03:53:25,1,4
2025-01-28,03:53:27,4,8
2025-01-28,03:53:29,8,3
2025-01-28,03:53:31,3,8
2025-01-28,03:53:33,8,-9
2025-01-28,03:53:35,-9,-4
2025-01-28,03:53:37,-4,0
2025-01-28,03:53:39,0,2
2025-01-28,03:53:41,2,2
2025-01-28,03:53:43,2,9
2025-01-28,03:53:45,9,9
2025-01-28,03:53:47,9,-8
2025-01-28,03:53:49,-8,-9
2025-01-28,03:53:51,-9,-9
2025-01-28,03:53:53,-9,-1
2025-01-28,03:53:55,-1,0
2025-01-28,03:53:57,0,-1
2025-01-28,03:53:59,-1,7
2025-01-28,03:54:02,7,7
2025-01-28,03:54:04,7,10
2025-01-28,03:54:06,10,0
2025-01-28,03:54:08,0,7
2025-01-28,03:54:10,7,10
2025-01-28,03:54:12,10,-9
2025-01-28,03:54:14,-9,6
2025-01-28,03:54:16,6,-8
2025-01-28,03:54:18,-8,-7
2025-01-28,03:54:20,-7,-5
2025-01-28,03:54:22,-5,-8
2025-01-28,03:54:24,-8,8
2025-01-28,03:54:26,8,8
2025-01-28,03:54:28,8,-1
2025-01-28,03:54:30,-1,9
2025-01-28,03:54:32,9,9
2025-01-28,03:54:34,9,5
2025-01-28,03:54:36,5,5
2025-01-28,03:54:38,5,1
2025-01-28,03:54:40,1,-5
2025-01-28,03:54:42,-5,-1
2025-01-28,03:54:52,-1,2
2025-01-28,03:54:54,2,0
2025-01-28,03:54:56,0,0
2025-01-28,03:54:58,0,7
2025-01-28,03:55:00,7,6
2025-01-28,03:55:03,6,1
2025-01-28,03:55:05,1,2
2025-01-28,03:55:07,2,-2
2025-01-28,03:55:09,-2,1
2025-01-28,03:55:11,1,1
2025-01-28,03:55:13,1,-8
2025-01-28,03:55:15,-8,-10
2025-01-28,03:55:17,-10,-4
2025-01-28,03:55:19,-4,-1
2025-01-28,03:55:21,-1,5
2025-01-28,03:55:23,5,-5
2025-01-28,03:55:25,-5,7
2025-01-28,03:55:27,7,1
2025-01-28,03:55:29,1,4
2025-01-28,03:55:31,4,5
2025-01-28,03:55:33,5,9
2025-01-28,03:55:35,9,9
2025-01-28,03:55:37,9,-4
2025-01-28,03:55:39,-4,2
2025-01-28,03:55:41,2,2
2025-01-28,03:55:43,2,-3
2025-01-28,03:55:45,-3,-6
2025-01-28,03:55:47,-6,8
2025-01-28,03:55:49,8,-1
2025-01-28,03:55:51,-1,-1
2025-01-28,03:55:53,-1,4
2025-01-28,03:55:55,4,3
2025-01-28,03:55:57,3,3
2025-01-28,03:55:59,3,-8
2025-01-28,03:56:01,-8,5
2025-01-28,03:56:03,5,2
2025-01-28,03:56:05,2,-4
2025-01-28,03:56:07,-4,0
2025-01-28,03:56:09,0,0
2025-01-28,03:56:11,0,5
2025-01-28,03:56:13,5,3
2025-01-28,03:56:16,3,-8
2025-01-28,03:56:18,-8,-10
2025-01-28,03:56:20,-10,-2
2025-01-28,03:56:22,-2,-2
2025-01-28,03:56:24,-2,-3
2025-01-28,03:56:26,-3,0
2025-01-28,03:56:28,0,5
2025-01-28,03:56:30,5,2
2025-01-28,03:56:32,2,-1
2025-01-28,03:56:42,-1,5
2025-01-28,03:56:44,5,7
2025-01-28,03:56:46,7,10
2025-01-28,03:56:48,10,0
2025-01-28,03:56:50,0,3
2025-01-28,03:56:52,3,0
2025-01-28,03:56:54,0,3
2025-01-28,03:56:56,3,-6
2025-01-28,03:56:58,-6,7
2025-01-28,03:57:00,7,8
2025-01-28,03:57:02,8,-7
2025-01-28,03:57:04,-7,-5
2025-01-28,03:57:06,-5,5
2025-01-28,03:57:08,5,5
2025-01-28,03:57:10,5,9
2025-01-28,03:57:12,9,1
2025-01-28,03:57:14,1,-4
2025-01-28,03:57:16,-4,-8
2025-01-28,03:57:18,-8,-7
2025-01-28,03:57:20,-7,-9
2025-01-28,03:57:22,-9,3
2025-01-28,03:57:25,3,-2
2025-01-28,03:57:27,-2,-9
2025-01-28,03:57:29,-9,-2
2025-01-28,03:57:31,-2,2
2025-01-28,03:57:33,2,-2
2025-01-28,03:57:35,-2,-2
2025-01-28,03:57:37,-2,-2
2025-01-28,03:57:39,-2,1
2025-01-28,03:57:41,1,0
2025-01-28,03:57:43,0,8
2025-01-28,03:57:45,8,8
2025-01-28,03:57:47,8,5
2025-01-28,03:57:49,5,8
2025-01-28,03:57:51,8,-5
2025-01-28,03:57:53,-5,-4
2025-01-28,03:57:55,-4,-5
2025-01-28,03:57:57,-5,-6
2025-01-28,03:57:59,-6,6
2025-01-28,03:58:01,6,1
2025-01-28,03:58:03,1,-5
2025-01-28,03:58:05,-5,0
2025-01-28,03:58:07,0,-9
2025-01-28,03:58:09,-9,-4
2025-01-28,03:58:11,-4,6
2025-01-28,03:58:13,6,-9
2025-01-28,03:58:15,-9,3
2025-01-28,03:58:17,3,1
2025-01-28,03:58:19,1,4
2025-01-28,03:58:21,4,-9
2025-01-28,03:58:33,-9,-2
2025-01-28,03:58:35,-2,-1
2025-01-28,03:58:37,-1,-7
2025-01-28,03:58:39,-7,5
2025-01-28,03:58:41,5,9
2025-01-28,03:58:43,9,2
2025-01-28,03:58:45,2,2
2025-01-28,03:58:47,2,9
2025-01-28,03:58:49,9,7
2025-01-28,03:58:51,7,-4
2025-01-28,03:58:53,-4,-2
2025-01-28,03:58:55,-2,1
2025-01-28,03:58:57,1,3
2025-01-28,03:58:59,3,-5
2025-01-28,03:59:01,-5,-8
2025-01-28,03:59:03,-8,1
2025-01-28,03:59:05,1,8
2025-01-28,03:59:07,8,9
2025-01-28,03:59:09,9,-7
2025-01-28,03:59:11,-7,-7
2025-01-28,03:59:13,-7,-4
2025-01-28,03:59:15,-4,1
2025-01-28,03:59:17,1,4
2025-01-28,03:59:19,4,9
2025-01-28,03:59:21,9,2
2025-01-28,03:59:23,2,8
2025-01-28,03:59:25,8,-5
2025-01-28,03:59:27,-5,7
2025-01-28,03:59:29,7,9
2025-01-28,03:59:31,9,9
2025-01-28,03:59:33,9,4
2025-01-28,03:59:35,4,3
2025-01-28,03:59:38,3,9
2025-01-28,03:59:40,9,-6
2025-01-28,03:59:42,-6,-1
2025-01-28,03:59:44,-1,5
2025-01-28,03:59:46,5,-3
2025-01-28,03:59:48,-3,-3
2025-01-28,03:59:50,-3,3
2025-01-28,03:59:52,3,7
2025-01-28,03:59:54,7,-9
2025-01-28,03:59:56,-9,2
2025-01-28,03:59:58,2,-3
2025-01-28,04:00:00,-3,0
2025-01-28,04:00:02,0,0
2025-01-28,04:00:04,0,8
2025-01-28,04:00:06,8,6
2025-01-28,04:00:08,6,6
2025-01-28,04:00:10,6,10
2025-01-28,04:00:12,10,3
2025-01-28,04:00:22,3,-8
2025-01-28,04:00:24,-8,-10
2025-01-28,04:00:26,-10,-9
2025-01-28,04:00:28,-9,-6
2025-01-28,04:00:30,-6,-6
2025-01-28,04:00:32,-6,-6
2025-01-28,04:00:34,-6,5
2025-01-28,04:00:36,5,-5
2025-01-28,04:00:39,-5,-9
2025-01-28,04:00:41,-9,-4
2025-01-28,04:00:43,-4,7
2025-01-28,04:00:45,7,-3
2025-01-28,04:00:47,-3,0
